competition,date,match,video,log
RC25,2025-07-19,HTWK-Robots_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-19_22_24_14_13_vs_54.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-19_17-28-31_WisTex-United_HTWK-Robots.yaml
RC25,2025-07-19,HULKs_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_17_59_29_8_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_13-52-20_HULKs_Dutch-Nao-Team.yaml
RC25,2025-07-19,HULKs_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_18_27_22_24_vs_8.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_13-52-20_HULKs_Dutch-Nao-Team.yaml
RC25,2025-07-19,Nao-Devils_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-19_23_51_52_5_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_19-50-14_B-Human_Nao-Devils.yaml
RC25,2025-07-19,Nao-Devils_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-20_00_05_52_5_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_19-50-14_B-Human_Nao-Devils.yaml
RC25,2025-07-19,Nao-Devils_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-20_00_29_59_12_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_19-50-14_B-Human_Nao-Devils.yaml
RC25,2025-07-19,Nao-Devils_Naova,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-19_18_12_28_45_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_14-12-16_Nao-Devils_Naova.yaml
RC25,2025-07-19,Nao-Devils_Naova,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-19_18_44_51_12_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_14-12-16_Nao-Devils_Naova.yaml
RC25,2025-07-19,Nao-Devils_Naova,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-19_18_58_50_12_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_14-12-16_Nao-Devils_Naova.yaml
RC25,2025-07-19,Nao-Devils_RoboEireann,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_14_46_06_17_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_10-42-53_RoboEireann_Nao-Devils.yaml
RC25,2025-07-19,Nao-Devils_RoboEireann,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_15_15_34_12_vs_17.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_10-42-53_RoboEireann_Nao-Devils.yaml
RC25,2025-07-19,Nao-Devils_RoboEireann,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_15_33_18_12_vs_17.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_10-42-53_RoboEireann_Nao-Devils.yaml
RC25,2025-07-19,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_20_30_34_45_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_16-23-42_Naova_RedBackBots.yaml
RC25,2025-07-19,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_20_44_11_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_16-23-42_Naova_RedBackBots.yaml
RC25,2025-07-19,RoboEireann_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_22_59_31_17_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_18-56-51_RoboEireann_HULKs.yaml
RC25,2025-07-19,RoboEireann_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_23_13_31_17_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_18-56-51_RoboEireann_HULKs.yaml
RC25,2025-07-19,RoboEireann_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_23_27_13_24_vs_17.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-19_18-56-51_RoboEireann_HULKs.yaml
RC25,2025-07-19,SPQR-Team_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_12_59_54_8_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-19_08-54-27_SPQR-Team_Dutch-Nao-Team.yaml
RC25,2025-07-19,SPQR-Team_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-19_13_21_11_19_vs_8.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-19_08-54-27_SPQR-Team_Dutch-Nao-Team.yaml
RC25,2025-07-19,rUNSWift_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-19_13_45_46_24_vs_18.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-19_09-41-51_HULKs_rUNSWift.yaml
RC25,2025-07-19,rUNSWift_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-19_14_14_03_18_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-19_09-41-51_HULKs_rUNSWift.yaml
RC25,2025-07-19,rUNSWift_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-19_16_15_47_51_vs_18.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-19_12-09-39_RedBackBots_rUNSWift.yaml
RC25,2025-07-19,rUNSWift_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-19_16_41_44_18_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-19_12-09-39_RedBackBots_rUNSWift.yaml
RC25,2025-07-19,rUNSWift_SPQR-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-19_20_19_30_18_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-19_16-15-42_SPQR-Team_rUNSWift.yaml
